,NO,Gender,Bornyear,Race,Player,Sportyear,Bestpride,Income,PrantEdu,PersonalEdu,WantJob,SS01,SS02,SS03,SS04,SS05,SS06,SS07,SS08,SS09,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,CB01,CB02,CB03,CB04,CB05,CB06,CB07,CB08,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,SST1,SST1M
0,10001,male,81,1.0,0,6.0,2,2,3,1,0,2,4,4,3,5,5,5,5,3,3,4,4,4,4,4,2,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,3.25
1,10002,male,81,1.0,0,6.0,3,1,3,4,0,3,5,5,5,2,2,2,2,5,4,3,5,4,4,4,4,2,3,2,2,3,4,3,2,3,4,3,3,3,4,3,3,3,3,3,3,2,3,18,4.5
2,10003,male,82,1.0,0,6.0,2,2,3,2,0,1,4,5,4,3,3,3,3,5,3,3,5,5,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,4,5,4,3,3,3,2,2,3,3,14,3.5
3,10004,male,81,1.0,0,6.0,2,1,3,2,0,3,4,4,4,4,4,4,4,5,5,4,4,4,4,3,4,3,3,4,4,2,2,2,2,4,5,4,4,4,4,2,2,2,2,2,2,2,2,15,3.75
4,10005,male,82,1.0,0,8.0,2,1,4,2,1,4,5,5,5,1,2,1,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,19,4.75
5,10006,female,81,1.0,0,6.0,1,1,3,2,1,4,3,5,4,5,5,5,4,5,3,4,4,3,4,3,4,3,5,4,5,3,3,3,3,4,4,3,5,4,3,3,3,3,2,3,2,2,3,16,4.0
6,10007,male,82,1.0,0,6.0,2,1,3,2,0,2,2,4,3,1,3,1,3,4,4,4,4,3,4,3,3,2,3,2,3,2,3,3,2,4,4,4,4,4,4,3,3,3,3,3,2,2,3,11,2.75
7,10008,female,81,1.0,0,6.0,1,2,3,3,1,2,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,3,13,3.25
8,10009,male,82,1.0,0,4.0,3,1,4,2,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,3.0
9,10010,female,82,2.0,0,4.0,3,1,3,2,1,2,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,3,4,4,3,3,3,3,3,3,2,4,4,3,3,3,3,3,2,2,2,2,14,3.5
10,10011,female,82,1.0,0,8.0,2,1,3,2,0,1,4,4,4,5,5,5,5,5,5,3,5,3,4,4,4,3,4,3,4,3,3,2,3,3,3,3,4,5,5,4,4,4,4,3,3,3,3,13,3.25
11,10012,female,81,1.0,0,6.0,3,1,4,2,0,5,5,3,3,4,4,4,4,4,3,3,3,2,2,4,4,3,5,3,3,4,4,5,5,4,5,5,5,3,3,4,4,4,3,4,4,4,3,16,4.0
12,10013,female,82,1.0,0,3.0,3,1,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
13,10014,female,81,1.0,0,6.0,2,1,2,1,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.0
14,10015,male,82,,0,3.0,2,1,2,1,0,3,4,4,2,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,13,3.25
15,10016,male,82,1.0,0,4.0,2,1,3,1,0,1,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,2.5
16,10017,female,81,,0,7.0,2,1,4,2,0,3,2,1,2,4,4,4,4,4,4,3,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,5,8,2.0
17,10018,male,82,2.0,0,5.0,1,2,3,4,1,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,13,3.25
18,10019,male,82,1.0,0,7.0,3,2,3,2,1,3,4,4,3,3,3,3,3,5,5,5,5,4,4,4,4,3,4,3,3,4,4,4,3,5,5,4,5,4,4,4,4,4,3,3,3,3,3,14,3.5
19,10020,female,81,2.0,0,,2,2,3,3,1,3,5,5,3,3,3,3,3,4,3,3,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,16,4.0
20,10021,male,79,,0,3.0,3,2,5,2,0,4,4,4,5,3,4,4,4,4,4,4,4,4,5,3,4,4,3,5,3,4,4,5,4,4,3,5,4,4,3,5,3,4,4,4,3,4,4,17,4.25
21,10022,male,82,3.0,0,9.0,2,1,3,1,0,3,4,4,3,3,3,3,3,3,3,4,3,2,3,4,3,2,2,2,2,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,14,3.5
22,10023,female,82,1.0,1,7.0,1,1,3,2,1,4,5,4,4,5,5,5,5,4,4,5,4,5,4,5,5,4,5,4,5,2,3,2,2,2,5,1,3,4,4,2,2,2,2,3,3,2,4,17,4.25
23,10024,male,81,1.0,0,10.0,3,1,3,4,1,1,4,4,2,5,5,5,5,3,3,4,4,3,4,4,3,2,4,3,3,4,4,3,4,3,4,3,4,4,3,4,4,4,4,4,4,3,4,11,2.75
24,10025,male,81,1.0,0,4.0,2,2,3,2,0,2,4,4,2,5,5,5,5,4,3,3,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,12,3.0
25,10026,male,81,1.0,0,8.0,2,2,4,2,1,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,2,4,4,1,4,4,4,3,3,4,5,2,5,4,4,3,4,4,3,5,4,3,5,12,3.0
26,10027,male,82,1.0,1,4.0,1,1,3,2,1,1,4,4,3,5,4,4,4,4,4,4,4,1,4,4,4,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3.0
27,10028,male,81,1.0,1,5.0,1,1,1,2,0,1,4,4,4,5,5,5,5,4,4,4,4,4,5,5,1,1,4,4,4,4,2,3,3,4,5,5,5,4,4,4,4,5,3,4,4,3,4,13,3.25
28,10029,male,82,1.0,1,5.0,2,2,3,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,15,3.75
29,10030,male,81,1.0,1,3.0,1,1,3,2,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,3,3,2,2,4,4,3,13,3.25
30,10031,male,82,1.0,0,6.0,3,3,4,2,0,5,5,5,5,5,4,5,4,5,5,5,5,3,4,5,5,5,5,5,5,4,4,3,2,4,5,5,5,5,5,3,3,3,4,4,4,3,2,20,5.0
31,10032,male,82,1.0,0,4.0,2,2,4,2,1,4,4,3,3,4,4,4,3,3,3,5,4,3,4,3,4,4,4,3,4,4,4,4,3,5,3,4,3,3,3,4,5,3,3,4,4,3,4,14,3.5
32,10033,male,83,1.0,0,9.0,2,2,6,3,0,5,5,5,5,5,3,4,3,5,5,3,5,3,4,5,4,3,3,3,4,4,4,4,3,4,2,5,4,4,4,4,5,4,1,4,4,4,5,20,5.0
33,10034,female,81,3.0,0,6.0,1,1,3,3,1,3,3,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,3.5
34,10035,male,82,1.0,0,3.0,2,1,2,2,0,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,13,3.25
35,10036,female,82,1.0,0,8.0,2,1,4,2,0,4,4,4,3,5,5,5,5,4,4,4,4,3,4,4,1,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,15,3.75
36,10037,male,82,1.0,0,6.0,3,2,5,2,1,2,4,4,4,5,5,5,5,4,4,4,4,3,3,4,4,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,4,3,4,14,3.5
37,10038,male,82,2.0,0,5.0,2,2,3,2,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,2,4,4,4,4,15,3.75
38,10039,female,82,1.0,1,6.0,1,3,4,3,1,3,5,5,5,5,5,5,5,4,5,4,5,3,5,5,1,3,5,3,3,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,18,4.5
39,10040,male,82,1.0,0,11.0,2,1,4,2,0,2,3,3,3,4,4,4,4,4,4,3,4,3,4,4,3,3,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,11,2.75
40,10041,male,82,1.0,1,4.0,2,1,3,1,0,3,3,3,3,3,3,3,3,4,2,4,3,3,1,2,2,3,2,3,1,3,2,1,2,3,3,2,3,5,4,3,2,1,2,4,4,5,3,12,3.0
41,10042,male,81,1.0,1,4.0,1,1,2,2,1,2,5,5,3,5,5,5,5,4,3,5,4,4,4,5,5,4,4,1,3,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,15,3.75
42,10043,male,82,1.0,1,7.0,1,3,4,3,0,4,4,4,4,4,5,4,4,4,5,4,4,4,4,5,2,2,3,2,2,3,2,2,2,3,3,2,3,4,4,3,3,3,4,4,3,3,3,16,4.0
43,10044,male,81,1.0,0,6.0,3,2,3,2,0,1,3,4,3,5,5,5,5,3,3,3,3,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,4,5,4,11,2.75
44,10045,male,81,1.0,0,5.0,2,1,3,2,0,4,4,4,3,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5,4,4,15,3.75
45,10046,female,82,3.0,0,3.0,1,1,2,2,0,4,5,4,4,5,5,5,4,5,5,5,5,4,4,4,3,4,4,4,4,4,3,4,2,4,4,2,5,4,4,4,4,4,3,2,2,3,4,17,4.25
46,10047,female,82,2.0,0,3.0,1,2,2,1,1,3,4,5,4,4,4,5,4,4,3,4,4,4,4,4,4,5,4,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,3,16,4.0
47,10048,male,82,1.0,0,3.0,2,2,5,1,0,1,1,1,1,5,5,5,5,4,4,4,4,1,1,1,1,3,3,3,3,5,4,3,2,1,4,4,5,5,5,4,4,5,3,1,5,3,5,4,1.0
48,10049,male,80,1.0,0,10.0,1,3,6,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
49,10050,male,81,1.0,0,3.0,2,1,3,2,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,5,5,4,5,5,5,4,5,5,5,4,5,17,4.25
50,10051,male,82,1.0,0,7.0,2,1,3,4,0,2,2,2,2,5,5,5,5,4,4,4,4,1,5,5,5,1,1,1,1,1,2,1,1,3,3,3,3,3,3,2,2,2,1,1,2,2,1,8,2.0
51,10052,female,82,1.0,0,8.0,2,1,2,2,1,3,4,4,2,4,5,4,3,5,4,4,4,4,3,5,4,3,4,4,4,4,5,3,3,4,5,3,4,5,3,2,3,3,2,3,4,3,3,13,3.25
52,10053,male,82,1.0,0,3.0,1,2,2,2,1,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,16,4.0
53,10054,male,82,1.0,0,4.0,2,2,4,2,1,5,5,5,5,5,5,5,5,4,3,5,4,4,4,5,5,3,5,2,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,20,5.0
54,10055,male,82,1.0,0,5.0,2,2,3,2,0,3,2,4,2,4,2,2,4,2,2,2,2,3,3,3,3,2,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,2,2,4,4,4,11,2.75
55,10056,male,81,1.0,0,4.0,2,1,3,2,1,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,20,5.0
56,10057,male,82,1.0,0,9.0,2,1,5,2,0,4,5,5,4,5,4,5,4,5,5,4,4,4,4,4,5,2,4,2,4,4,3,4,3,5,5,3,5,4,4,3,3,4,4,4,4,4,4,18,4.5
57,10058,male,81,1.0,0,3.0,2,1,3,2,1,3,4,5,4,5,5,5,5,3,3,3,3,3,5,5,5,4,4,3,3,4,4,4,3,3,5,5,5,4,4,4,4,4,4,4,3,3,3,16,4.0
58,10059,female,82,1.0,0,6.0,3,1,3,2,1,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,3,3,3,5,5,5,4,3,3,2,2,2,5,2,2,4,19,4.75
59,10060,female,82,2.0,1,8.0,1,2,4,3,1,2,4,3,3,5,5,5,5,5,4,3,4,3,4,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,4,4,3,3,3,2,3,2,3,12,3.0
60,10061,male,82,3.0,0,6.0,2,1,3,2,1,3,4,4,4,5,4,4,5,4,4,4,4,3,4,5,5,3,5,3,3,5,5,5,4,3,5,3,5,5,5,4,4,5,4,4,4,4,3,15,3.75
61,10062,male,81,1.0,0,6.0,1,2,1,3,0,3,1,1,1,5,3,5,5,5,5,5,5,1,3,3,3,1,3,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,3,3,3,3,3,6,1.5
62,10063,male,82,1.0,0,6.0,2,2,2,2,1,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,20,5.0
63,10064,male,81,1.0,0,6.0,2,2,3,2,1,1,5,5,4,5,5,5,5,5,5,4,5,5,5,5,2,2,5,4,5,4,4,5,5,4,4,4,5,5,5,5,5,5,5,4,4,3,3,15,3.75
64,10065,male,82,1.0,1,8.0,1,3,6,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,4,5,4,20,5.0
65,10066,male,81,1.0,0,3.0,2,2,2,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
66,10067,male,81,1.0,0,5.0,2,1,3,3,1,3,4,4,4,4,4,4,4,5,4,4,5,4,2,4,3,2,3,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,15,3.75
67,10068,male,82,1.0,0,6.0,2,3,1,2,1,3,4,3,3,5,5,5,5,4,4,3,4,5,5,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,13,3.25
68,10069,male,82,1.0,0,7.0,2,2,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,1,3,5,5,5,5,5,4,4,5,1,1,1,1,1,20,5.0
69,10070,female,81,1.0,0,3.0,2,1,3,2,1,4,5,4,4,5,4,5,4,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,5,5,5,4,17,4.25
70,10071,female,82,3.0,0,5.0,2,3,3,3,1,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,4,5,5,5,4,4,5,4,4,16,4.0
71,10072,female,82,1.0,0,5.0,1,2,3,2,1,5,4,4,5,5,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4,5,5,5,5,5,4,5,5,5,4,18,4.5
72,10073,female,82,1.0,0,3.0,3,1,2,4,1,3,3,3,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,1,5,3,1,5,5,4,5,3,4,3,3,3,3,3,3,3,3,13,3.25
73,10074,female,81,1.0,0,3.0,2,1,3,2,0,1,5,1,1,4,4,4,4,4,4,4,4,3,3,5,4,5,4,3,3,2,3,2,3,4,4,4,5,5,5,5,5,4,3,2,3,4,2,8,2.0
74,10075,female,81,1.0,0,5.0,2,1,2,2,1,2,2,2,4,1,2,1,1,3,4,3,5,3,3,4,4,3,3,2,3,4,4,5,3,4,3,3,4,4,4,4,3,3,4,3,4,4,3,10,2.5
75,10076,male,81,1.0,0,5.0,2,1,3,2,0,3,3,3,3,5,3,5,3,3,3,3,3,3,4,3,3,4,4,4,4,3,3,3,4,3,4,3,4,3,4,4,4,4,4,3,4,4,3,12,3.0
76,10077,male,82,3.0,0,6.0,2,1,3,2,1,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
77,10078,male,81,2.0,0,3.0,3,2,3,3,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,4,3,3,3,3,4,15,3.75
78,10079,male,81,2.0,0,3.0,2,3,4,3,0,4,4,4,3,5,5,5,5,4,3,5,3,4,5,5,4,5,5,5,5,4,3,4,3,5,5,3,4,4,3,3,4,4,4,4,2,5,3,15,3.75
79,10080,male,81,1.0,0,3.0,2,3,3,2,0,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,4,3,14,3.5
80,10081,male,81,2.0,0,3.0,2,2,6,2,1,4,3,3,3,4,4,3,4,5,5,5,5,4,3,5,5,5,5,5,5,3,3,4,4,3,4,3,4,3,4,4,4,3,3,1,1,4,3,13,3.25
81,10082,male,82,1.0,0,8.0,2,2,4,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,4,4,3,4,4,5,4,5,4,4,3,4,5,3,3,5,3,4,19,4.75
82,10083,male,82,1.0,0,4.0,2,1,3,2,1,3,3,4,3,4,4,3,4,4,4,4,3,3,4,5,5,4,5,5,4,4,4,3,5,5,5,4,4,3,4,4,4,3,5,4,4,3,4,13,3.25
83,10084,female,83,1.0,0,7.0,3,2,1,2,1,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4,4,4,15,3.75
84,10085,female,82,1.0,0,6.0,2,2,4,2,0,5,5,4,4,4,4,4,5,5,5,4,5,5,4,4,4,3,4,4,4,4,5,4,3,4,5,5,5,5,3,4,4,5,3,1,4,1,2,18,4.5
85,10086,female,82,1.0,0,7.0,2,2,3,2,0,3,3,2,3,4,4,4,4,4,3,4,3,3,4,4,3,4,3,4,4,3,2,2,3,4,4,3,4,4,4,3,3,3,3,2,2,2,3,11,2.75
86,10087,female,82,1.0,0,5.0,2,2,4,4,0,3,3,2,2,4,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,3,2,2,2,4,4,3,3,4,4,3,3,2,2,2,2,1,1,10,2.5
87,10088,male,82,1.0,0,7.0,2,1,4,2,1,3,5,4,4,5,5,5,5,4,4,4,4,3,4,5,5,4,4,5,5,3,3,3,2,4,5,3,5,3,4,4,4,4,2,2,2,2,2,16,4.0
88,10089,male,81,1.0,0,3.0,2,1,3,2,1,4,5,5,4,5,5,5,5,5,5,5,4,3,3,5,5,5,5,5,5,4,4,3,3,4,5,4,5,4,3,5,5,5,4,3,4,5,5,18,4.5
89,10090,male,81,1.0,0,7.0,2,2,3,3,0,4,4,4,4,5,5,5,5,5,5,5,5,4,3,5,4,4,4,4,4,4,5,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,16,4.0
90,10091,male,81,2.0,0,10.0,2,3,4,3,1,5,5,5,5,4,4,4,2,5,5,5,5,5,5,5,5,2,3,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,4,2,4,4,4,20,5.0
91,10092,female,82,1.0,0,4.0,2,2,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,3,3,3,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,20,5.0
92,10093,female,82,1.0,0,3.0,2,3,3,3,1,3,4,2,3,5,5,5,5,5,4,5,5,3,4,4,4,4,3,5,5,3,2,2,2,3,3,4,3,3,4,3,3,3,2,2,3,3,3,12,3.0
93,10094,female,82,2.0,0,5.0,2,2,3,2,0,3,4,4,4,1,2,1,3,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,5,5,5,4,4,15,3.75
94,10095,male,82,1.0,0,9.0,2,3,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
95,10096,female,81,1.0,0,10.0,2,1,4,2,1,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,17,4.25
96,10097,male,82,1.0,0,7.0,2,2,4,2,0,3,3,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,2,2,2,3,3,4,2,3,2,2,2,2,2,2,2,2,2,2,13,3.25
97,10098,female,81,1.0,0,7.0,2,2,6,2,1,2,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,5,4,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,13,3.25
98,10099,male,81,1.0,0,10.0,2,2,5,3,0,2,3,3,3,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,11,2.75
99,10100,female,81,1.0,0,6.0,2,2,3,3,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,4,5,5,5,4,3,4,4,19,4.75
100,10101,male,81,1.0,0,8.0,2,2,3,2,1,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,4,5,3,5,5,4,5,5,4,5,5,5,5,5,18,4.5
101,10102,male,82,1.0,0,6.0,2,2,5,3,1,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,20,5.0
102,10103,male,81,1.0,0,9.0,2,2,5,3,1,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,16,4.0
103,10104,male,81,2.0,0,5.0,2,3,4,3,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,3,5,5,5,4,3,4,3,3,15,3.75
104,10105,female,82,1.0,0,8.0,2,2,5,2,0,2,2,3,1,2,2,2,1,2,2,3,2,3,3,3,3,2,3,3,3,2,2,2,2,2,4,5,5,4,3,3,3,3,3,3,4,3,3,8,2.0
105,10106,female,82,1.0,0,10.0,2,2,3,2,0,3,3,5,5,5,4,5,5,5,5,5,5,4,5,5,2,2,4,1,4,4,3,3,3,3,4,5,4,4,4,3,3,3,4,3,3,4,3,16,4.0
106,10107,male,81,1.0,0,8.0,2,1,2,3,1,3,3,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,4,3,14,3.5
107,10108,female,81,1.0,0,5.0,2,2,5,2,0,4,4,3,4,4,3,3,3,5,4,5,5,3,3,4,4,5,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,15,3.75
108,10109,female,82,2.0,0,8.0,2,1,2,3,1,4,5,5,4,4,5,5,5,4,5,5,5,4,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,18,4.5
109,10110,male,82,1.0,0,12.0,1,3,6,4,0,1,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,8,2.0
